Ruby-Rails-Rspec, 25,
Ruby-Rails-Factory_Girl, 15,
Ruby-Rails-Faker, 15,
Ruby-Rails-Capybara, 5,
Ruby-Rails-Devise, 15,
Ruby-Rails-ShouldaMatchers, 5,
Ruby-Rails-Cucumber, 5,
Javascript-jQuery, 50,
Javascript-Underscore, 25,
Javascript-Backbone, 20,
Javascript-3JS, 5,
Javascript-D3, 5,
Javascript-Angular, 5,
Javascript-React, 5,
Javascript-Phaser, 15,
Javascript-ES5, 5,
Javascript-Node, 5,
CSS-Sass, 5,
CSS-Less, 5,
CSS-Bootstrap, 15,
CSS-FlatUI, 10,
CSS-BassCSS, 5,
HTML-Chrome Development Suite, 5,
HTML-Haml, 10,
HTML-Modernizr, 5,
HTML-Handlebars, 10
